CHROM,CONTIG,OFFSET,CONTIG.ALT
Chr1,Chr1_supercontig_000000000,0,GL834412.1
Chr1,Chr1_supercontig_000000001,2180112,GL834413.1
Chr1,Chr1_supercontig_000000002,2553658,GL834414.1
Chr1,Chr1_supercontig_000000003,3628951,GL834415.1
Chr1,Chr1_supercontig_000000004,3803807,GL834416.1
Chr1,Chr1_supercontig_000000005,4621540,GL834417.1
Chr1,Chr1_supercontig_000000006,8291235,GL834418.1
Chr1,Chr1_supercontig_000000007,9409125,GL834419.1
Chr1,Chr1_supercontig_000000008,11455135,GL834420.1
Chr1,Chr1_supercontig_000000009,12069840,GL834421.1
Chr1,Chr1_supercontig_000000010,12320201,GL834422.1
Chr1,Chr1_supercontig_000000011,13451494,GL834423.1
Chr1,Chr1_supercontig_000000012,16785533,GL834424.1
Chr1,Chr1_supercontig_000000013,18924888,GL834425.1
Chr1,Chr1_supercontig_000000014,19519869,GL834426.1
Chr1,Chr1_supercontig_000000015,20142921,GL834427.1
Chr1,Chr1_supercontig_000000016,22248263,GL834428.1
Chr1,Chr1_supercontig_000000017,23469743,GL834429.1
Chr1,Chr1_supercontig_000000018,24531115,GL834430.1
Chr1,Chr1_supercontig_000000019,25012510,GL834431.1
Chr1,Chr1_supercontig_000000020,25292461,GL834432.1
Chr1,Chr1_supercontig_000000021,25628393,GL834433.1
Chr1,Chr1_supercontig_000000022,25812798,GL834434.1
Chr1,Chr1_supercontig_000000023,26500680,GL834435.1
Chr1,Chr1_supercontig_000000024,26688709,GL834436.1
Chr1,Chr1_supercontig_000000025,30229242,GL834437.1
Chr1,Chr1_supercontig_000000026,30559397,GL834438.1
Chr1,Chr1_supercontig_000000027,34311546,GL834439.1
Chr1,Chr1_supercontig_000000028,34757384,GL834440.1
Chr1,Chr1_supercontig_000000029,35987428,GL834441.1
Chr1,Chr1_supercontig_000000030,37594416,GL834442.1
Chr1,Chr1_supercontig_000000031,38258611,GL834443.1
Chr1,Chr1_supercontig_000000032,38669318,GL834444.1
Chr1,Chr1_supercontig_000000033,39311334,GL834445.1
Chr1,Chr1_supercontig_000000034,42917031,GL834446.1
Chr1,Chr1_supercontig_000000035,45582241,GL834447.1
Chr1,Chr1_supercontig_000000036,47082899,GL834448.1
Chr1,Chr1_supercontig_000000037,47902958,GL834449.1
Chr1,Chr1_supercontig_000000038,48364359,GL834450.1
Chr1,Chr1_supercontig_000000039,50546460,GL834451.1
Chr1,Chr1_supercontig_000000040,55108954,GL834452.1
Chr1,Chr1_supercontig_000000041,59515323,GL834453.1
Chr1,Chr1_supercontig_000000042,64203760,GL834454.1
Chr1,Chr1_supercontig_000000043,65863043,GL834455.1
Chr1,Chr1_supercontig_000000044,66588704,GL834456.1
Chr1,Chr1_supercontig_000000045,66629793,GL834457.1
Chr1,Chr1_supercontig_000000046,67591770,GL834458.1
Chr1,Chr1_supercontig_000000047,68839882,GL834459.1
Chr1,Chr1_supercontig_000000048,70340628,GL834460.1
Chr1,Chr1_supercontig_000000049,71937526,GL834461.1
Chr1,Chr1_supercontig_000000050,75004205,GL834462.1
Chr1,Chr1_supercontig_000000051,76238945,GL834463.1
Chr1,Chr1_supercontig_000000052,80516880,GL834464.1
Chr1,Chr1_supercontig_000000053,84963729,GL834465.1
Chr1,Chr1_supercontig_000000054,89501698,GL834466.1
Chr1,Chr1_supercontig_000000055,94266880,GL834467.1
Chr1,Chr1_supercontig_000000056,95097079,GL834468.1
Chr1,Chr1_supercontig_000000057,95407802,GL834469.1
Chr1,Chr1_supercontig_000000058,97798761,GL834470.1
Chr1,Chr1_supercontig_000000059,97852146,GL834471.1
Chr1,Chr1_supercontig_000000060,98417764,GL834472.1
Chr1,Chr1_supercontig_000000061,102204725,GL834473.1
Chr1,Chr1_supercontig_000000062,102326825,GL834474.1
Chr1,Chr1_supercontig_000000063,104375501,GL834475.1
Chr1,Chr1_supercontig_000000064,105878330,GL834476.1
Chr1,Chr1_supercontig_000000065,106231955,GL834477.1
Chr1,Chr1_supercontig_000000066,110213459,GL834478.1
Chr1,Chr1_supercontig_000000067,110307991,GL834479.1
Chr1,Chr1_supercontig_000000068,110342036,GL834480.1
Chr1,Chr1_supercontig_000000069,113488217,GL834481.1
Chr1,Chr1_supercontig_000000070,114339868,GL834482.1
Chr1,Chr1_supercontig_000000071,117108086,GL834483.1
Chr1,Chr1_supercontig_000000072,119492305,GL834484.1
Chr1,Chr1_supercontig_000000073,123331738,GL834485.1
Chr1,Chr1_supercontig_000000074,124621651,GL834486.1
Chr1,Chr1_supercontig_000000075,125468239,GL834487.1
Chr1,Chr1_supercontig_000000076,127598028,GL834488.1
Chr1,Chr1_supercontig_000000077,131888911,GL834489.1
Chr1,Chr1_supercontig_000000078,133729643,GL834490.1
Chr1,Chr1_supercontig_000000079,136867537,GL834491.1
Chr1,Chr1_supercontig_000000080,137995884,GL834492.1
Chr1,Chr1_supercontig_000000081,138177221,GL834493.1
Chr1,Chr1_supercontig_000000082,139444354,GL834494.1
Chr1,Chr1_supercontig_000000083,139656695,GL834495.1
Chr1,Chr1_supercontig_000000084,140384122,GL834496.1
Chr1,Chr1_supercontig_000000085,142699998,GL834497.1
Chr1,Chr1_supercontig_000000086,142702600,GL834498.1
Chr1,Chr1_supercontig_000000087,144092464,GL834499.1
Chr1,Chr1_supercontig_000000088,144177273,GL834500.1
Chr1,Chr1_supercontig_000000089,145701848,GL834501.1
Chr1,Chr1_supercontig_000000090,148339192,GL834502.1
Chr1,Chr1_supercontig_000000091,152597494,GL834503.1
Chr1,Chr1_supercontig_000000092,153077104,GL834504.1
Chr1,Chr1_supercontig_000000093,153087258,GL834505.1
Chr1,Chr1_supercontig_000000094,153911848,GL834506.1
Chr1,Chr1_supercontig_000000095,156795305,GL834507.1
Chr1,Chr1_supercontig_000000096,161692253,GL834508.1
Chr1,Chr1_supercontig_000000097,164471349,GL834509.1
Chr1,Chr1_supercontig_000000098,164931537,GL834510.1
Chr1,Chr1_supercontig_000000099,165375225,GL834511.1
Chr1,Chr1_supercontig_000000100,168274749,GL834512.1
