DevilID	DevilID_version	CONTIG.ALT	start	end	KaryotypeBand	DevilGeneName
ENSSHAG00000000001	ENSSHAG00000000001.1	GL837760.1	1	15566		CERCAM
ENSSHAG00000000002	ENSSHAG00000000002.1	GL838608.1	1	1509		SLC18A3
ENSSHAG00000000003	ENSSHAG00000000003.1	GL838787.1	1	591		
ENSSHAG00000000004	ENSSHAG00000000004.1	GL841449.1	1	733		
ENSSHAG00000000005	ENSSHAG00000000005.1	GL841718.1	1	1257		
ENSSHAG00000000006	ENSSHAG00000000006.1	GL843140.1	1	21964		
ENSSHAG00000000007	ENSSHAG00000000007.1	GL843337.1	1	810		
ENSSHAG00000000008	ENSSHAG00000000008.1	GL838403.1	2	1197		
ENSSHAG00000000009	ENSSHAG00000000009.1	GL839027.1	2	431		
ENSSHAG00000000010	ENSSHAG00000000010.1	GL849547.1	2	736		
ENSSHAG00000000011	ENSSHAG00000000011.1	GL849844.1	2	45221		ANKRD10
ENSSHAG00000000012	ENSSHAG00000000012.1	GL855029.1	2	952		OR52L1
ENSSHAG00000000013	ENSSHAG00000000013.1	GL856803.1	2	71547		TARBP1
ENSSHAG00000000014	ENSSHAG00000000014.1	GL859728.1	2	955		
ENSSHAG00000000015	ENSSHAG00000000015.1	GL867352.1	2	675		
ENSSHAG00000000016	ENSSHAG00000000016.1	GL834438.1	3	19264		SGMS1
ENSSHAG00000000017	ENSSHAG00000000017.1	GL835437.1	3	9492		
ENSSHAG00000000018	ENSSHAG00000000018.1	GL839394.1	3	989		
ENSSHAG00000000019	ENSSHAG00000000019.1	GL849152.1	3	764		
ENSSHAG00000000020	ENSSHAG00000000020.1	GL849695.1	3	58275		MPHOSPH8
ENSSHAG00000000021	ENSSHAG00000000021.1	GL851205.1	3	10804		
ENSSHAG00000000022	ENSSHAG00000000022.1	GL852378.1	3	969		
ENSSHAG00000000023	ENSSHAG00000000023.1	GL853611.1	3	3269		
ENSSHAG00000000024	ENSSHAG00000000024.1	GL851332.1	4	914		
ENSSHAG00000000025	ENSSHAG00000000025.1	GL849468.1	5	1789		
ENSSHAG00000000026	ENSSHAG00000000026.1	GL856955.1	5	5773		HEBP2
ENSSHAG00000000027	ENSSHAG00000000027.1	GL865291.1	6	7433		TBC1D10C
ENSSHAG00000000028	ENSSHAG00000000028.1	GL841642.1	7	1868		
ENSSHAG00000000029	ENSSHAG00000000029.1	GL860715.1	9	9448		
ENSSHAG00000000030	ENSSHAG00000000030.1	GL841974.1	11	1845		
ENSSHAG00000000031	ENSSHAG00000000031.1	GL849367.1	11	1801		
ENSSHAG00000000032	ENSSHAG00000000032.1	GL841368.1	13	24826		GDF6
ENSSHAG00000000033	ENSSHAG00000000033.1	GL853216.1	13	2287		
ENSSHAG00000000034	ENSSHAG00000000034.1	GL850436.1	15	3256		
ENSSHAG00000000035	ENSSHAG00000000035.1	GL834840.1	16	693		
ENSSHAG00000000036	ENSSHAG00000000036.1	GL852009.1	16	1520		
ENSSHAG00000000037	ENSSHAG00000000037.1	GL867955.1	17	6974		SRPK3
