Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Opossum gene name	Opossum gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSSHAG00000000001	ENSSHAG00000000001.1	ENSSHAT00000000001	ENSSHAT00000000001.1	CERCAM	ENSMODG00000005999	CERCAM	GL837760.1	1	15566
ENSSHAG00000000002	ENSSHAG00000000002.1	ENSSHAT00000000002	ENSSHAT00000000002.1	SLC18A3	ENSMODG00000002522	SLC18A3	GL838608.1	1	1509
ENSSHAG00000000003	ENSSHAG00000000003.1	ENSSHAT00000000003	ENSSHAT00000000003.1		ENSMODG00000048278		GL838787.1	1	591
ENSSHAG00000000003	ENSSHAG00000000003.1	ENSSHAT00000000003	ENSSHAT00000000003.1		ENSMODG00000042156		GL838787.1	1	591
ENSSHAG00000000003	ENSSHAG00000000003.1	ENSSHAT00000000003	ENSSHAT00000000003.1		ENSMODG00000023499		GL838787.1	1	591
ENSSHAG00000000004	ENSSHAG00000000004.1	ENSSHAT00000000004	ENSSHAT00000000004.1				GL841449.1	1	733
ENSSHAG00000000005	ENSSHAG00000000005.1	ENSSHAT00000000005	ENSSHAT00000000005.1		ENSMODG00000011608		GL841718.1	1	1257
ENSSHAG00000000005	ENSSHAG00000000005.1	ENSSHAT00000000005	ENSSHAT00000000005.1		ENSMODG00000011617		GL841718.1	1	1257
ENSSHAG00000000006	ENSSHAG00000000006.1	ENSSHAT00000000006	ENSSHAT00000000006.1		ENSMODG00000045104		GL843140.1	1	21964
ENSSHAG00000000006	ENSSHAG00000000006.1	ENSSHAT00000000006	ENSSHAT00000000006.1	VN2R514	ENSMODG00000050973		GL843140.1	1	21964
ENSSHAG00000000007	ENSSHAG00000000007.1	ENSSHAT00000000007	ENSSHAT00000000007.1		ENSMODG00000028520		GL843337.1	1	810
ENSSHAG00000000008	ENSSHAG00000000008.1	ENSSHAT00000000008	ENSSHAT00000000008.1				GL838403.1	2	1197
ENSSHAG00000000009	ENSSHAG00000000009.1	ENSSHAT00000000009	ENSSHAT00000000009.1		ENSMODG00000038794		GL839027.1	2	431
ENSSHAG00000000010	ENSSHAG00000000010.1	ENSSHAT00000000010	ENSSHAT00000000010.1				GL849547.1	2	736
ENSSHAG00000000011	ENSSHAG00000000011.1	ENSSHAT00000000011	ENSSHAT00000000011.1	ANKRD10	ENSMODG00000046223	ANKRD10	GL849844.1	2	45221
ENSSHAG00000000012	ENSSHAG00000000012.1	ENSSHAT00000000012	ENSSHAT00000000012.1			OR52L1	GL855029.1	2	952
ENSSHAG00000000013	ENSSHAG00000000013.1	ENSSHAT00000000013	ENSSHAT00000000013.1	TARBP1	ENSMODG00000008504	TARBP1	GL856803.1	2	71547
ENSSHAG00000000014	ENSSHAG00000000014.1	ENSSHAT00000000014	ENSSHAT00000000014.1				GL859728.1	2	955
ENSSHAG00000000015	ENSSHAG00000000015.1	ENSSHAT00000000015	ENSSHAT00000000015.1				GL867352.1	2	675
ENSSHAG00000000016	ENSSHAG00000000016.1	ENSSHAT00000000016	ENSSHAT00000000016.1		ENSMODG00000016489	SGMS1	GL834438.1	3	19264
ENSSHAG00000000017	ENSSHAG00000000017.1	ENSSHAT00000000017	ENSSHAT00000000017.1	FCSK	ENSMODG00000014392		GL835437.1	3	9492
ENSSHAG00000000018	ENSSHAG00000000018.1	ENSSHAT00000000018	ENSSHAT00000000018.1				GL839394.1	3	989
ENSSHAG00000000019	ENSSHAG00000000019.1	ENSSHAT00000000019	ENSSHAT00000000019.1		ENSMODG00000012447		GL849152.1	3	764
ENSSHAG00000000020	ENSSHAG00000000020.1	ENSSHAT00000000020	ENSSHAT00000000020.1	MPHOSPH8	ENSMODG00000007995	MPHOSPH8	GL849695.1	3	58275
ENSSHAG00000000020	ENSSHAG00000000020.1	ENSSHAT00000000021	ENSSHAT00000000021.1	MPHOSPH8	ENSMODG00000007995	MPHOSPH8	GL849695.1	3	58275
ENSSHAG00000000021	ENSSHAG00000000021.1	ENSSHAT00000000022	ENSSHAT00000000022.1	SPTBN4	ENSMODG00000007773		GL851205.1	3	10804
ENSSHAG00000000022	ENSSHAG00000000022.1	ENSSHAT00000000023	ENSSHAT00000000023.1		ENSMODG00000021137		GL852378.1	3	969
ENSSHAG00000000023	ENSSHAG00000000023.1	ENSSHAT00000000024	ENSSHAT00000000024.1	SLC5A7	ENSMODG00000002650		GL853611.1	3	3269
ENSSHAG00000000024	ENSSHAG00000000024.1	ENSSHAT00000000025	ENSSHAT00000000025.1		ENSMODG00000011212		GL851332.1	4	914
ENSSHAG00000000025	ENSSHAG00000000025.1	ENSSHAT00000000026	ENSSHAT00000000026.1	TAF5	ENSMODG00000011095		GL849468.1	5	1789
ENSSHAG00000000026	ENSSHAG00000000026.1	ENSSHAT00000000027	ENSSHAT00000000027.1	HEBP2	ENSMODG00000017398	HEBP2	GL856955.1	5	5773
ENSSHAG00000000027	ENSSHAG00000000027.1	ENSSHAT00000000028	ENSSHAT00000000028.1		ENSMODG00000007632	TBC1D10C	GL865291.1	6	7433
ENSSHAG00000000028	ENSSHAG00000000028.1	ENSSHAT00000000029	ENSSHAT00000000029.1		ENSMODG00000049231		GL841642.1	7	1868
ENSSHAG00000000029	ENSSHAG00000000029.1	ENSSHAT00000000030	ENSSHAT00000000030.1		ENSMODG00000010143		GL860715.1	9	9448
ENSSHAG00000000029	ENSSHAG00000000029.1	ENSSHAT00000000031	ENSSHAT00000000031.1		ENSMODG00000010143		GL860715.1	9	9448
