Chr,Start,End
1,1,100000
1,100001,200000
1,200001,300000
1,300001,400000
1,400001,500000
1,500001,600000
1,600001,700000
1,700001,800000
1,800001,900000
1,900001,1000000
1,1000001,1100000
1,1100001,1200000
1,1200001,1300000
1,1300001,1400000
1,1400001,1500000
1,1500001,1600000
1,1600001,1700000
1,1700001,1800000
1,1800001,1900000
1,1900001,2000000
1,2000001,2100000
1,2100001,2180111
1,2180113,2280112
1,2280113,2380112
1,2380113,2480112
1,2480113,2553657
1,2553659,2653658
1,2653659,2753658
1,2753659,2853658
1,2853659,2953658
1,2953659,3053658
1,3053659,3153658
1,3153659,3253658
1,3253659,3353658
1,3353659,3453658
1,3453659,3553658
1,3553659,3628950
1,3628952,3728951
1,3728952,3803806
1,3803808,3903807
1,3903808,4003807
1,4003808,4103807
1,4103808,4203807
1,4203808,4303807
1,4303808,4403807
1,4403808,4503807
1,4503808,4603807
1,4603808,4621539
1,4621541,4721540
1,4721541,4821540
1,4821541,4921540
1,4921541,5021540
1,5021541,5121540
1,5121541,5221540
1,5221541,5321540
1,5321541,5421540
1,5421541,5521540
1,5521541,5621540
1,5621541,5721540
1,5721541,5821540
1,5821541,5921540
1,5921541,6021540
1,6021541,6121540
1,6121541,6221540
1,6221541,6321540
1,6321541,6421540
1,6421541,6521540
1,6521541,6621540
1,6621541,6721540
1,6721541,6821540
1,6821541,6921540
1,6921541,7021540
1,7021541,7121540
1,7121541,7221540
1,7221541,7321540
1,7321541,7421540
1,7421541,7521540
1,7521541,7621540
1,7621541,7721540
1,7721541,7821540
1,7821541,7921540
1,7921541,8021540
1,8021541,8121540
1,8121541,8221540
1,8221541,8291234
1,8291236,8391235
1,8391236,8491235
1,8491236,8591235
1,8591236,8691235
1,8691236,8791235
1,8791236,8891235
1,8891236,8991235
1,8991236,9091235
1,9091236,9191235
1,9191236,9291235
1,9291236,9391235
1,9391236,9409124
1,9409126,9509125
1,9509126,9609125
1,9609126,9709125
1,9709126,9809125
1,9809126,9909125
1,9909126,10009125
1,10009126,10109125
1,10109126,10209125
1,10209126,10309125
1,10309126,10409125
1,10409126,10509125
1,10509126,10609125
1,10609126,10709125
1,10709126,10809125
1,10809126,10909125
1,10909126,11009125
1,11009126,11109125
1,11109126,11209125
1,11209126,11309125
1,11309126,11409125
1,11409126,11455134
1,11455136,11555135
1,11555136,11655135
1,11655136,11755135
1,11755136,11855135
1,11855136,11955135
1,11955136,12055135
1,12055136,12069839
1,12069841,12169840
1,12169841,12269840
1,12269841,12320200
1,12320202,12420201
1,12420202,12520201
1,12520202,12620201
1,12620202,12720201
1,12720202,12820201
1,12820202,12920201
1,12920202,13020201
1,13020202,13120201
1,13120202,13220201
1,13220202,13320201
1,13320202,13420201
1,13420202,13451493
1,13451495,13551494
1,13551495,13651494
1,13651495,13751494
1,13751495,13851494
1,13851495,13951494
1,13951495,14051494
1,14051495,14151494
1,14151495,14251494
1,14251495,14351494
1,14351495,14451494
1,14451495,14551494
1,14551495,14651494
1,14651495,14751494
1,14751495,14851494
1,14851495,14951494
1,14951495,15051494
1,15051495,15151494
1,15151495,15251494
1,15251495,15351494
1,15351495,15451494
1,15451495,15551494
1,15551495,15651494
1,15651495,15751494
1,15751495,15851494
1,15851495,15951494
1,15951495,16051494
1,16051495,16151494
1,16151495,16251494
1,16251495,16351494
1,16351495,16451494
1,16451495,16551494
1,16551495,16651494
1,16651495,16751494
1,16751495,16785532
1,16785534,16885533
1,16885534,16985533
1,16985534,17085533
1,17085534,17185533
1,17185534,17285533
1,17285534,17385533
1,17385534,17485533
1,17485534,17585533
1,17585534,17685533
1,17685534,17785533
1,17785534,17885533
1,17885534,17985533
1,17985534,18085533
1,18085534,18185533
1,18185534,18285533
1,18285534,18385533
1,18385534,18485533
1,18485534,18585533
1,18585534,18685533
1,18685534,18785533
1,18785534,18885533
1,18885534,18924887
1,18924889,19024888
1,19024889,19124888
1,19124889,19224888
1,19224889,19324888
1,19324889,19424888
1,19424889,19519868
1,19519870,19619869
1,19619870,19719869
1,19719870,19819869
1,19819870,19919869
1,19919870,20019869
1,20019870,20119869
1,20119870,20142920
1,20142922,20242921
1,20242922,20342921
1,20342922,20442921
1,20442922,20542921
1,20542922,20642921
1,20642922,20742921
1,20742922,20842921
1,20842922,20942921
1,20942922,21042921
1,21042922,21142921
1,21142922,21242921
1,21242922,21342921
1,21342922,21442921
1,21442922,21542921
1,21542922,21642921
1,21642922,21742921
1,21742922,21842921
1,21842922,21942921
1,21942922,22042921
1,22042922,22142921
1,22142922,22242921
1,22242922,22248262
1,22248264,22348263
1,22348264,22448263
1,22448264,22548263
1,22548264,22648263
1,22648264,22748263
1,22748264,22848263
1,22848264,22948263
1,22948264,23048263
1,23048264,23148263
1,23148264,23248263
1,23248264,23348263
1,23348264,23448263
1,23448264,23469742
1,23469744,23569743
1,23569744,23669743
1,23669744,23769743
1,23769744,23869743
1,23869744,23969743
1,23969744,24069743
1,24069744,24169743
1,24169744,24269743
1,24269744,24369743
1,24369744,24469743
1,24469744,24531114
1,24531116,24631115
1,24631116,24731115
1,24731116,24831115
1,24831116,24931115
1,24931116,25012509
1,25012511,25112510
1,25112511,25212510
1,25212511,25292460
1,25292462,25392461
1,25392462,25492461
1,25492462,25592461
1,25592462,25628392
1,25628394,25728393
1,25728394,25812797
1,25812799,25912798
1,25912799,26012798
1,26012799,26112798
1,26112799,26212798
1,26212799,26312798
1,26312799,26412798
1,26412799,26500679
1,26500681,26600680
1,26600681,26688708
1,26688710,26788709
1,26788710,26888709
1,26888710,26988709
1,26988710,27088709
1,27088710,27188709
1,27188710,27288709
1,27288710,27388709
1,27388710,27488709
1,27488710,27588709
1,27588710,27688709
1,27688710,27788709
1,27788710,27888709
1,27888710,27988709
1,27988710,28088709
1,28088710,28188709
1,28188710,28288709
1,28288710,28388709
1,28388710,28488709
1,28488710,28588709
1,28588710,28688709
1,28688710,28788709
1,28788710,28888709
1,28888710,28988709
1,28988710,29088709
1,29088710,29188709
1,29188710,29288709
1,29288710,29388709
1,29388710,29488709
1,29488710,29588709
1,29588710,29688709
1,29688710,29788709
1,29788710,29888709
1,29888710,29988709
1,29988710,30088709
1,30088710,30188709
1,30188710,30229241
1,30229243,30329242
1,30329243,30429242
1,30429243,30529242
1,30529243,30559396
1,30559398,30659397
1,30659398,30759397
1,30759398,30859397
1,30859398,30959397
1,30959398,31059397
1,31059398,31159397
1,31159398,31259397
1,31259398,31359397
1,31359398,31459397
1,31459398,31559397
1,31559398,31659397
1,31659398,31759397
1,31759398,31859397
1,31859398,31959397
1,31959398,32059397
1,32059398,32159397
1,32159398,32259397
1,32259398,32359397
1,32359398,32459397
1,32459398,32559397
1,32559398,32659397
1,32659398,32759397
1,32759398,32859397
1,32859398,32959397
1,32959398,33059397
1,33059398,33159397
1,33159398,33259397
1,33259398,33359397
1,33359398,33459397
1,33459398,33559397
1,33559398,33659397
1,33659398,33759397
1,33759398,33859397
1,33859398,33959397
1,33959398,34059397
1,34059398,34159397
1,34159398,34259397
1,34259398,34311545
1,34311547,34411546
1,34411547,34511546
1,34511547,34611546
1,34611547,34711546
1,34711547,34757383
1,34757385,34857384
1,34857385,34957384
1,34957385,35057384
1,35057385,35157384
1,35157385,35257384
1,35257385,35357384
1,35357385,35457384
1,35457385,35557384
1,35557385,35657384
1,35657385,35757384
1,35757385,35857384
1,35857385,35957384
1,35957385,35987427
1,35987429,36087428
1,36087429,36187428
1,36187429,36287428
1,36287429,36387428
1,36387429,36487428
1,36487429,36587428
1,36587429,36687428
1,36687429,36787428
1,36787429,36887428
1,36887429,36987428
1,36987429,37087428
1,37087429,37187428
1,37187429,37287428
1,37287429,37387428
1,37387429,37487428
1,37487429,37587428
1,37587429,37594415
1,37594417,37694416
1,37694417,37794416
1,37794417,37894416
1,37894417,37994416
1,37994417,38094416
1,38094417,38194416
1,38194417,38258610
1,38258612,38358611
1,38358612,38458611
1,38458612,38558611
1,38558612,38658611
1,38658612,38669317
1,38669319,38769318
1,38769319,38869318
1,38869319,38969318
1,38969319,39069318
1,39069319,39169318
1,39169319,39269318
1,39269319,39311333
1,39311335,39411334
1,39411335,39511334
1,39511335,39611334
1,39611335,39711334
1,39711335,39811334
1,39811335,39911334
1,39911335,40011334
1,40011335,40111334
1,40111335,40211334
1,40211335,40311334
1,40311335,40411334
1,40411335,40511334
1,40511335,40611334
1,40611335,40711334
1,40711335,40811334
1,40811335,40911334
1,40911335,41011334
1,41011335,41111334
1,41111335,41211334
1,41211335,41311334
1,41311335,41411334
1,41411335,41511334
1,41511335,41611334
1,41611335,41711334
1,41711335,41811334
1,41811335,41911334
1,41911335,42011334
1,42011335,42111334
1,42111335,42211334
1,42211335,42311334
1,42311335,42411334
1,42411335,42511334
1,42511335,42611334
1,42611335,42711334
1,42711335,42811334
1,42811335,42911334
1,42911335,42917030
1,42917032,43017031
1,43017032,43117031
1,43117032,43217031
1,43217032,43317031
1,43317032,43417031
1,43417032,43517031
1,43517032,43617031
1,43617032,43717031
1,43717032,43817031
1,43817032,43917031
1,43917032,44017031
1,44017032,44117031
1,44117032,44217031
1,44217032,44317031
1,44317032,44417031
1,44417032,44517031
1,44517032,44617031
1,44617032,44717031
1,44717032,44817031
1,44817032,44917031
1,44917032,45017031
1,45017032,45117031
1,45117032,45217031
1,45217032,45317031
1,45317032,45417031
1,45417032,45517031
1,45517032,45582240
1,45582242,45682241
1,45682242,45782241
1,45782242,45882241
1,45882242,45982241
1,45982242,46082241
1,46082242,46182241
1,46182242,46282241
1,46282242,46382241
1,46382242,46482241
1,46482242,46582241
1,46582242,46682241
1,46682242,46782241
1,46782242,46882241
1,46882242,46982241
1,46982242,47082241
1,47082242,47082898
1,47082900,47182899
1,47182900,47282899
1,47282900,47382899
1,47382900,47482899
1,47482900,47582899
1,47582900,47682899
1,47682900,47782899
1,47782900,47882899
1,47882900,47902957
1,47902959,48002958
1,48002959,48102958
1,48102959,48202958
1,48202959,48302958
1,48302959,48364358
1,48364360,48464359
1,48464360,48564359
1,48564360,48664359
1,48664360,48764359
1,48764360,48864359
1,48864360,48964359
1,48964360,49064359
1,49064360,49164359
1,49164360,49264359
1,49264360,49364359
1,49364360,49464359
1,49464360,49564359
1,49564360,49664359
1,49664360,49764359
1,49764360,49864359
1,49864360,49964359
1,49964360,50064359
1,50064360,50164359
1,50164360,50264359
1,50264360,50364359
1,50364360,50464359
1,50464360,50546459
1,50546461,50646460
1,50646461,50746460
1,50746461,50846460
1,50846461,50946460
1,50946461,51046460
