OpossumID	OpossumID_version	HumanGeneName	HumanID	OpossumGeneName	DevilID	DevilGeneName
ENSMODG00000016695	ENSMODG00000016695.4	EBF3	ENSG00000108001			
ENSMODG00000034911	ENSMODG00000034911.2					
ENSMODG00000027996	ENSMODG00000027996.2					
ENSMODG00000032478	ENSMODG00000032478.2					
ENSMODG00000048036	ENSMODG00000048036.1			mdo-mir-12296		
ENSMODG00000013483	ENSMODG00000013483.4	GLRX3	ENSG00000108010	GLRX3	ENSSHAG00000005817	GLRX3
ENSMODG00000043448	ENSMODG00000043448.1					
ENSMODG00000036380	ENSMODG00000036380.1					
ENSMODG00000046419	ENSMODG00000046419.1					
ENSMODG00000051545	ENSMODG00000051545.1					
ENSMODG00000043160	ENSMODG00000043160.1					
ENSMODG00000042832	ENSMODG00000042832.1					
ENSMODG00000040443	ENSMODG00000040443.1					
ENSMODG00000042190	ENSMODG00000042190.1					
ENSMODG00000045215	ENSMODG00000045215.1					
ENSMODG00000039404	ENSMODG00000039404.1					
ENSMODG00000040785	ENSMODG00000040785.1					
ENSMODG00000013493	ENSMODG00000013493.4	TCERG1L	ENSG00000176769	TCERG1L		
ENSMODG00000039737	ENSMODG00000039737.1					
ENSMODG00000045921	ENSMODG00000045921.1					
ENSMODG00000039754	ENSMODG00000039754.1					
ENSMODG00000028832	ENSMODG00000028832.2					
ENSMODG00000042771	ENSMODG00000042771.1					
ENSMODG00000045876	ENSMODG00000045876.1					
ENSMODG00000037581	ENSMODG00000037581.1					
ENSMODG00000013518	ENSMODG00000013518.4	JAKMIP3	ENSG00000188385	JAKMIP3	ENSSHAG00000006010	JAKMIP3
ENSMODG00000050227	ENSMODG00000050227.1					
ENSMODG00000043721	ENSMODG00000043721.1	DPYSL4	ENSG00000151640			
ENSMODG00000013531	ENSMODG00000013531.4	STK32C	ENSG00000165752	STK32C	ENSSHAG00000008001	STK32C
ENSMODG00000041358	ENSMODG00000041358.1	L1TD1	ENSG00000240563			
ENSMODG00000006903	ENSMODG00000006903.4	DOCK1	ENSG00000150760		ENSSHAG00000015107	DOCK1
ENSMODG00000036674	ENSMODG00000036674.1					
ENSMODG00000039338	ENSMODG00000039338.1					
ENSMODG00000029056	ENSMODG00000029056.2	NPS	ENSG00000214285	NPS		
ENSMODG00000006906	ENSMODG00000006906.2	FOXI2	ENSG00000186766		ENSSHAG00000006952	
ENSMODG00000045439	ENSMODG00000045439.1					
ENSMODG00000046900	ENSMODG00000046900.1					
ENSMODG00000037015	ENSMODG00000037015.1			mdo-mir-7256		
ENSMODG00000033589	ENSMODG00000033589.2					
ENSMODG00000006911	ENSMODG00000006911.3	CLRN3	ENSG00000180745	CLRN3	ENSSHAG00000004209	
ENSMODG00000042165	ENSMODG00000042165.1					
ENSMODG00000046506	ENSMODG00000046506.1					
ENSMODG00000043197	ENSMODG00000043197.1					
ENSMODG00000006941	ENSMODG00000006941.3	PTPRE	ENSG00000132334	PTPRE		
ENSMODG00000006953	ENSMODG00000006953.4	MKI67	ENSG00000148773		ENSSHAG00000001614	
ENSMODG00000041412	ENSMODG00000041412.1					
ENSMODG00000049631	ENSMODG00000049631.1					
ENSMODG00000045933	ENSMODG00000045933.1					
ENSMODG00000038940	ENSMODG00000038940.1					
ENSMODG00000048447	ENSMODG00000048447.1					
ENSMODG00000033935	ENSMODG00000033935.2					
ENSMODG00000049521	ENSMODG00000049521.1					
ENSMODG00000036763	ENSMODG00000036763.1					
ENSMODG00000029132	ENSMODG00000029132.2					
ENSMODG00000049213	ENSMODG00000049213.1					
ENSMODG00000040390	ENSMODG00000040390.1					
ENSMODG00000040903	ENSMODG00000040903.1					
ENSMODG00000048944	ENSMODG00000048944.1					
ENSMODG00000028911	ENSMODG00000028911.2					
ENSMODG00000046880	ENSMODG00000046880.1					
ENSMODG00000029396	ENSMODG00000029396.1					
ENSMODG00000042248	ENSMODG00000042248.1					
ENSMODG00000012237	ENSMODG00000012237.4	TSPAN15	ENSG00000099282		ENSSHAG00000001204	TSPAN15
ENSMODG00000012228	ENSMODG00000012228.3					
ENSMODG00000045261	ENSMODG00000045261.1					
ENSMODG00000012225	ENSMODG00000012225.3	FAM241B	ENSG00000171224		ENSSHAG00000004121	FAM241B
ENSMODG00000036820	ENSMODG00000036820.1					
ENSMODG00000045435	ENSMODG00000045435.1					
ENSMODG00000030523	ENSMODG00000030523.2					
ENSMODG00000031841	ENSMODG00000031841.2					
ENSMODG00000036607	ENSMODG00000036607.1					
ENSMODG00000012220	ENSMODG00000012220.4	COL13A1	ENSG00000197467		ENSSHAG00000004917	COL13A1
ENSMODG00000040146	ENSMODG00000040146.1	H2AFY2	ENSG00000099284	H2AFY2	ENSSHAG00000007934	H2AFY2
ENSMODG00000012201	ENSMODG00000012201.4	AIFM2	ENSG00000042286	AIFM2	ENSSHAG00000008296	
ENSMODG00000012195	ENSMODG00000012195.5	TYSND1	ENSG00000156521	TYSND1		
ENSMODG00000012190	ENSMODG00000012190.4	SAR1A	ENSG00000079332	SAR1A	ENSSHAG00000008596	SAR1A
ENSMODG00000012176	ENSMODG00000012176.3	PPA1	ENSG00000180817		ENSSHAG00000008870	PPA1
ENSMODG00000046812	ENSMODG00000046812.1	NPFFR1	ENSG00000148734	NPFFR1		
ENSMODG00000012169	ENSMODG00000012169.4	LRRC20	ENSG00000172731	LRRC20	ENSSHAG00000009270	LRRC20
ENSMODG00000048754	ENSMODG00000048754.1			U6		
ENSMODG00000012163	ENSMODG00000012163.3	METAP2	ENSG00000111142		ENSSHAG00000009501	METAP2
ENSMODG00000038353	ENSMODG00000038353.1					
ENSMODG00000046531	ENSMODG00000046531.1					
ENSMODG00000041296	ENSMODG00000041296.1					
ENSMODG00000046151	ENSMODG00000046151.1					
ENSMODG00000012161	ENSMODG00000012161.3	EIF4EBP2	ENSG00000148730	EIF4EBP2		
ENSMODG00000017248	ENSMODG00000017248.4					
ENSMODG00000047784	ENSMODG00000047784.1					
ENSMODG00000016421	ENSMODG00000016421.4	DKK1	ENSG00000107984	DKK1	ENSSHAG00000015044	
ENSMODG00000012158	ENSMODG00000012158.3	NODAL	ENSG00000156574	NODAL	ENSSHAG00000010040	NODAL
ENSMODG00000017247	ENSMODG00000017247.3	DNAJC12	ENSG00000108176	DNAJC12	ENSSHAG00000012965	DNAJC12
ENSMODG00000041159	ENSMODG00000041159.1	PRF1	ENSG00000180644	PRF1	ENSSHAG00000010858	PRF1
ENSMODG00000009342	ENSMODG00000009342.2	RPP30	ENSG00000148688		ENSSHAG00000007452	RPP30
ENSMODG00000030578	ENSMODG00000030578.2					
ENSMODG00000049527	ENSMODG00000049527.1			U6		
ENSMODG00000039442	ENSMODG00000039442.1					
ENSMODG00000037290	ENSMODG00000037290.1					
ENSMODG00000034925	ENSMODG00000034925.2					
ENSMODG00000046885	ENSMODG00000046885.1					
ENSMODG00000049372	ENSMODG00000049372.1					
ENSMODG00000044699	ENSMODG00000044699.1	LBX1	ENSG00000138136	LBX1	ENSSHAG00000012692	LBX1
ENSMODG00000042734	ENSMODG00000042734.1					
ENSMODG00000036585	ENSMODG00000036585.1					
ENSMODG00000028875	ENSMODG00000028875.1				ENSSHAG00000008702	
ENSMODG00000025399	ENSMODG00000025399.2	LINGO1	ENSG00000169783	LINGO1	ENSSHAG00000010612	LINGO1
